[04/06 15:22:57]: Namespace(base_channels=16, batch_size=128, block_type='basic', depths=38, epochs=400, input_shape=[1, 3, 32, 32], learning_rate=0.1, lr_decay=0.1, milestones='[120, 240]', momentum=0.9, n_classes=10, num_workers=6, result_path='./result/depths_38+CFD+SGD', seed=17, weight_decay=0.0001)
[04/06 15:41:28]: Epoch Test: 128, Current test accuracy: 0.8571, Best test accuracy in 95: 0.8943
[04/06 15:41:36]: epoch: 129, train_loss: 0.154315, train_accuracy: 0.9452
[04/06 15:41:37]: Epoch Test: 129, Current test accuracy: 0.8874, Best test accuracy in 95: 0.8943
[04/06 15:41:45]: epoch: 130, train_loss: 0.158020, train_accuracy: 0.9440
[04/06 15:41:46]: Epoch Test: 130, Current test accuracy: 0.8921, Best test accuracy in 95: 0.8943
[04/06 15:41:54]: epoch: 131, train_loss: 0.155845, train_accuracy: 0.9454
[04/06 15:41:54]: Epoch Test: 131, Current test accuracy: 0.8836, Best test accuracy in 95: 0.8943
[04/06 15:42:03]: epoch: 132, train_loss: 0.157620, train_accuracy: 0.9446
[04/06 15:42:03]: Epoch Test: 132, Current test accuracy: 0.8863, Best test accuracy in 95: 0.8943
[04/06 15:42:12]: epoch: 133, train_loss: 0.154593, train_accuracy: 0.9457
[04/06 15:42:12]: Epoch Test: 133, Current test accuracy: 0.8689, Best test accuracy in 95: 0.8943
[04/06 15:42:20]: epoch: 134, train_loss: 0.154805, train_accuracy: 0.9469
[04/06 15:42:21]: Epoch Test: 134, Current test accuracy: 0.8762, Best test accuracy in 95: 0.8943
[04/06 15:42:29]: epoch: 135, train_loss: 0.156115, train_accuracy: 0.9445
